Entity,Code,Year,Solar (TWh growth – sub method),Coal (TWh growth – sub method),Gas (TWh growth – sub method),Other renewables (TWh growth – sub method),Nuclear (TWh growth – sub method),Hydro (TWh growth – sub method),Wind (TWh growth – sub method),Oil (TWh growth – sub method)
Latvia,LVA,2010,0,0.276,2.782,0.046,0,0.109,0.002,2.344
Latvia,LVA,2011,0.001,0.019,-2.054,0.139,0,-1.696,0.056,-1.701
Latvia,LVA,2012,0,-0.259,-0.909,0.431,0,2.049,0.094,-0.028
Latvia,LVA,2013,0,-0.16,-0.21,0.543,0,-2.075,0.026,0.204
Latvia,LVA,2014,0,-0.177,-1.425,0.417,0,-2.381,-0.048,0.107
Latvia,LVA,2015,0,-0.157,0.106,0.243,0,-0.349,0.115,0.96
Latvia,LVA,2016,0,-0.061,0.452,0.124,0,1.634,-0.045,0.637
Latvia,LVA,2017,0,-0.012,-1.232,0.257,0,4.592,0.048,0.449
Latvia,LVA,2018,0.002,0.093,1.752,0.019,0,-4.908,-0.072,-1.543
Latvia,LVA,2019,-0.003,0.291,-0.597,0.074,0,-0.824,0.079,1.885
Lithuania,LTU,1986,0,1.55,0.087,0,1.117,-0.025,0,-16.715
Lithuania,LTU,1987,0,-0.172,1.818,0,-1.94,-0.061,0,8.34
Lithuania,LTU,1988,0,0.088,1.818,0,10.079,0.061,0,-3.615
Lithuania,LTU,1989,0,-0.717,2.727,0,10.668,0,0,2.346
Lithuania,LTU,1990,0,-0.934,7.174,0,1.058,0.082,0,-4.092
Lithuania,LTU,1991,0,1.084,1.914,0,-0.092,-0.211,0,8.861
Lithuania,LTU,1992,0,-5.502,-24.149,0,-6.561,-0.075,0,-46.263
Lithuania,LTU,1993,0,-0.55,-14.776,0,-6.606,0.228,0,-6.666
Lithuania,LTU,1994,0,-0.73,2.731,0,-12.65,0.164,0,-3.246
Lithuania,LTU,1995,0,-0.719,3.461,0,11.433,-0.219,0,-3.837
Lithuania,LTU,1996,0,-0.231,1.631,0,5.889,-0.131,0,1.419
Lithuania,LTU,1997,0,-0.502,-1.939,0,-5.328,-0.086,0,-0.368
Lithuania,LTU,1998,0,-0.271,-2.89,0,4.25,0.339,0,5.672
Lithuania,LTU,1999,0,-0.271,0.686,0,-10.256,-0.008,0,-7.812
Lithuania,LTU,2000,0,-0.505,2.924,0,-4.008,-0.208,0,-8.345
Lithuania,LTU,2001,0,-0.099,0.958,0.006,7.97,-0.044,0,4.249
Lithuania,LTU,2002,0,0.597,0.276,0.005,7.42,0.07,0,-2.398
Lithuania,LTU,2003,0,0.458,2.139,0.008,3.408,-0.083,0,-1.266
Lithuania,LTU,2004,0,-0.067,-0.069,-0.003,-1.304,0.253,0.003,2.052
Lithuania,LTU,2005,0,0.187,1.494,0.003,-13.073,0.074,0.002,2.066
Lithuania,LTU,2006,0,0.77,-0.261,0.048,-4.683,-0.151,0.032,0.199
Lithuania,LTU,2007,0,-0.017,5.089,0.077,2.994,0.056,0.245,-0.502
Lithuania,LTU,2008,0,-0.44,-3.444,0.039,-0.002,-0.056,0.064,2.878
Lithuania,LTU,2009,0,-0.505,-4.819,0.085,2.354,0.052,0.068,-5.044
Lithuania,LTU,2010,0,0.45,3.61,0.116,-28.471,0.295,0.17,0.927
Lithuania,LTU,2011,0,0.38,2.638,0.024,0,-0.164,0.647,-1.042
Lithuania,LTU,2012,0.006,-0.07,-0.745,0.155,0,-0.156,0.16,0.736
Lithuania,LTU,2013,0.109,0.409,-5.702,0.352,0,0.247,0.152,-0.872
Lithuania,LTU,2014,0.071,-0.481,-1.155,0.103,0,-0.321,0.083,-0.605
Lithuania,LTU,2015,0,-0.525,0.021,0.112,0,-0.129,0.423,2.745
Lithuania,LTU,2016,-0.018,0.028,-2.619,-0.042,0,0.257,0.807,2.811
Lithuania,LTU,2017,-0.001,0.155,0.87,0.172,0,0.365,0.553,1.403
Lithuania,LTU,2018,0.033,0.155,0.098,-0.091,0,-0.388,-0.564,1.999
Lithuania,LTU,2019,0.024,-0.088,-0.815,0.179,0,-0.262,0.767,-0.054
Luxembourg,LUX,1966,0,-3.078,0,0,0,-0.024,0,1.357
Luxembourg,LUX,1967,0,-1.804,0,0,0,0.028,0,1.168
Luxembourg,LUX,1968,0,1.928,0,0,0,0.005,0,1.284
Luxembourg,LUX,1969,0,1.793,0.029,0,0,-0.032,0,1.463
Luxembourg,LUX,1970,0,0.775,0.044,0,0,0.023,0,0.919
Luxembourg,LUX,1971,0,-2.457,0.074,0,0,-0.104,0,0.658
Luxembourg,LUX,1972,0,-0.457,1.026,0,0,0.024,0,0.836
Luxembourg,LUX,1973,0,-0.259,1.172,0,0,-0.019,0,1.948
Luxembourg,LUX,1974,0,1.861,0.806,0,0,0.067,0,-1.96
Luxembourg,LUX,1975,0,-7.192,0.497,0,0,-0.028,0,-1.893
Luxembourg,LUX,1976,0,-1.686,0.529,0,0,-0.067,0,1.295
Luxembourg,LUX,1977,0,-2.919,0.22,0.036,0,0.105,0,-0.275
Luxembourg,LUX,1978,0,1.043,0.44,0.006,0,-0.011,0,0.118
Luxembourg,LUX,1979,0,2.128,0.22,0.003,0,0.019,0,-1.225
Luxembourg,LUX,1980,0,-0.171,-0.606,-0.003,0,0.013,0,-2.537
Luxembourg,LUX,1981,0,-4.153,-1.006,0.008,0,0.017,0,-0.506
Luxembourg,LUX,1982,0,-1.35,-0.586,0,0,-0.029,0,-0.135
Luxembourg,LUX,1983,0,-1.294,-0.147,-0.003,0,-0.003,0,-0.588
Luxembourg,LUX,1984,0,1.997,0.22,0.006,0,0.014,0,0.021
Luxembourg,LUX,1985,0,-0.122,0.279,-0.003,0,-0.045,0,0.739
Luxembourg,LUX,1986,0,-1.814,-0.073,-0.003,0,0.046,0,1.118
Luxembourg,LUX,1987,0,-4.048,0.438,0.014,0,0.039,0,1.821
Luxembourg,LUX,1988,0,0.206,0.146,0.003,0,-0.023,0,0.41
Luxembourg,LUX,1989,0,2.541,0.511,-0.011,0,-0.061,0,1.571
Luxembourg,LUX,1990,0,-0.384,0.75,-0.018,0,0,0,1.689
Luxembourg,LUX,1991,0,-0.625,0.198,0.004,0,0.039,0,3.158
Luxembourg,LUX,1992,0,-0.706,0.219,-0.006,0,-0.039,0,0.65
Luxembourg,LUX,1993,0,0.381,0.208,0.008,0,-0.008,0,-0.064
Luxembourg,LUX,1994,0,-1.632,0.042,0.001,0,0.053,0,-0.026
Luxembourg,LUX,1995,0,-4.471,0.806,0.012,0,0.006,0,-1.432
Luxembourg,LUX,1996,0,-0.331,0.626,-0.011,0,-0.078,0,0.766
Luxembourg,LUX,1997,0,-1.979,0.175,0.004,0,0.064,0.008,0.982
Luxembourg,LUX,1998,0,-2.292,0.071,0,0,0.089,0.022,0.932
Luxembourg,LUX,1999,0,0.013,0.273,0.005,0,-0.083,0.019,1.648
Luxembourg,LUX,2000,0,0.12,0.208,0.01,0,0.107,0.019,1.871
Luxembourg,LUX,2001,0,0.101,0.872,0.009,0,-0.017,-0.003,1.7
Luxembourg,LUX,2002,0,-0.52,3.728,0.003,0,-0.052,0.002,0.558
Luxembourg,LUX,2003,0.004,-0.199,0.152,0.019,0,-0.057,0.004,2.198
Luxembourg,LUX,2004,0.021,0.266,1.349,0.022,0,0.065,0.035,4.305
Luxembourg,LUX,2005,0.023,-0.022,-0.228,0.009,0,-0.032,0.034,0.985
Luxembourg,LUX,2006,0.009,0.174,0.629,0.023,0,0.048,0.014,-1.834
Luxembourg,LUX,2007,-0.001,-0.165,-0.953,0.019,0,0.012,0.016,-0.947
Luxembourg,LUX,2008,-0.003,-0.041,-0.642,0.017,0,0.039,-0.011,0.274
Luxembourg,LUX,2009,0,-0.093,0.224,0.021,0,-0.071,0.007,-2.224
Luxembourg,LUX,2010,0.002,0.001,0.978,0.014,0,0.003,-0.023,1.542
Luxembourg,LUX,2011,0.012,-0.1,-1.911,0.022,0,-0.117,0.022,0.722
Luxembourg,LUX,2012,0.032,-0.055,0.218,0.001,0,0.09,0.034,-1.223
Luxembourg,LUX,2013,0.09,-0.067,-1.874,-0.001,0,0.052,0.013,-0.559
Luxembourg,LUX,2014,0.052,0.064,-0.544,0.052,0,-0.031,-0.009,-1.194
Luxembourg,LUX,2015,0.021,-0.049,-0.863,0.025,0,-0.023,0.054,-0.554
Luxembourg,LUX,2016,-0.01,0.038,-0.696,0.033,0,0.039,-0.002,-0.039
Luxembourg,LUX,2017,0.019,-0.082,-0.186,0.076,0,-0.076,0.332,1.449
Luxembourg,LUX,2018,0.026,-0.037,-0.111,0.112,0,0.016,0.046,1.9
Luxembourg,LUX,2019,0.001,0.16,0.004,0.156,0,0.032,0.028,0.613
Malaysia,MYS,1966,0,0.058,0,0,0,0.292,0,4.477
Malaysia,MYS,1967,0,-0.093,0,0,0,0.092,0,0.369
Malaysia,MYS,1968,0,0,0,0,0,0.219,0,0.44
Malaysia,MYS,1969,0,0.035,0,0,0,0.583,0,1.032
Malaysia,MYS,1970,0,0.012,0.081,0,0,0.522,0,3.456
Malaysia,MYS,1971,0,0.291,0.747,0,0,-0.433,0,3.511
Malaysia,MYS,1972,0,0.733,0.332,0,0,0.3,0,4.488
Malaysia,MYS,1973,0,-0.058,0,0,0,-0.128,0,3.977
Malaysia,MYS,1974,0,0,1.259,0,0,-0.283,0,-0.172
Malaysia,MYS,1975,0,-1.047,0.497,0,0,-0.003,0,2.674
Malaysia,MYS,1976,0,0.012,0.556,0,0,-0.158,0,5.935
Malaysia,MYS,1977,0,0.012,-0.295,0,0,-0.497,0,7.841
Malaysia,MYS,1978,0,0.151,20.328,0,0,0.375,0,5.406
Malaysia,MYS,1979,0,0.116,5.745,0,0,0.554,0,15.143
Malaysia,MYS,1980,0,0.186,-3.233,0,0,0.848,0,11.199
Malaysia,MYS,1981,0,0.5,-4.14,0,0,0.424,0,6.482
Malaysia,MYS,1982,0,-0.093,5.664,0,0,-0.163,0,4.777
Malaysia,MYS,1983,0,1.582,11.06,0,0,0.685,0,7.653
Malaysia,MYS,1984,0,0.209,9.223,0,0,4.728,0,-2.001
Malaysia,MYS,1985,0,0.93,-1.64,0,0,0.88,0,-0.198
Malaysia,MYS,1986,0,-0.954,25.481,0,0,0.978,0,-4.431
Malaysia,MYS,1987,0,1.047,-0.174,0,0,2.348,0,2.892
Malaysia,MYS,1988,0,-0.779,1.442,0,0,2.12,0,9.572
Malaysia,MYS,1989,0,10.897,10.583,0,0,-1.207,0,4.639
Malaysia,MYS,1990,0,1.49,-4.419,0,0,-3.522,0,25.399
Malaysia,MYS,1991,0,2.743,38.507,0,0,1.174,0,11.859
Malaysia,MYS,1992,0,0.907,10.2,0,0,-0.454,0,14.599
Malaysia,MYS,1993,0,-3.126,-2.291,0,0,1.575,0,18.299
Malaysia,MYS,1994,0,1.767,4.815,0,0,4.528,0,21.074
Malaysia,MYS,1995,0,1.697,5.036,0,0,-0.736,0,10.245
Malaysia,MYS,1996,0,0.093,27.586,0,0,-2.872,0,21.714
Malaysia,MYS,1997,0,-0.639,39.344,0,0,-2.808,0,37.094
Malaysia,MYS,1998,0,1.267,2.105,0,0,0.789,0,-40.666
Malaysia,MYS,1999,0,2.429,28.249,0,0,8.597,0,24.533
Malaysia,MYS,2000,0,6.346,54.894,1.586,0,-1.55,0,1.906
Malaysia,MYS,2001,0,5.637,-10.444,-0.001,0,-2.687,0,11.737
Malaysia,MYS,2002,0,7.799,3.791,-0.476,0,-1.893,0,33.441
Malaysia,MYS,2003,0,19.456,21.771,0.026,0,-0.981,0,17.22
Malaysia,MYS,2004,0,15.295,24.283,0.426,0,1.219,0,5.913
Malaysia,MYS,2005,0,2.987,46.788,0.034,0,1.072,0,0.018
Malaysia,MYS,2006,0,4.753,14.91,0.074,0,0.743,0,11.199
Malaysia,MYS,2007,0,18.003,15.375,0.35,0,-1.078,0,23.338
Malaysia,MYS,2008,0,10.867,31.482,0.085,0,4.785,0,-15.331
Malaysia,MYS,2009,0,9.774,-35.274,1.552,0,-2.533,0,-2.14
Malaysia,MYS,2010,0,48.279,-19.992,-0.362,0,-1.49,0,1.139
Malaysia,MYS,2011,0,-0.058,2.942,0.691,0,4.291,0,24.801
Malaysia,MYS,2012,0.018,12.901,36.983,-0.117,0,2.952,0,18.093
Malaysia,MYS,2013,0.343,-9.472,25.516,-1.042,0,6.379,0,25.456
Malaysia,MYS,2014,0.217,3.37,1.419,-1.062,0,3.864,0,1.725
Malaysia,MYS,2015,0.113,23.814,21.306,0.136,0,1.153,0,-31.946
Malaysia,MYS,2016,0.089,15.551,-18.468,0.011,0,15.132,0,46.618
Malaysia,MYS,2017,0.045,23.558,0.512,0.001,0,16.759,0,-22.85
Malaysia,MYS,2018,0.374,16.177,-40.076,0.125,0,-1.325,0,6.59
Malaysia,MYS,2019,0.767,-8.229,12.517,0.166,0,1.18,0,8.66
Mexico,MEX,1966,0,0.535,4.467,0,0,3.486,0,8.546
Mexico,MEX,1967,0,1.943,-11.917,0,0,2.497,0,13.282
Mexico,MEX,1968,0,0.507,5.396,0,0,4.514,0,17.508
Mexico,MEX,1969,0,0.151,18.878,0,0,2.122,0,12.375
Mexico,MEX,1970,0,1.356,2.204,0,0,4.442,0,17.316
Mexico,MEX,1971,0,3.196,3.919,0,0,-1.203,0,14.962
Mexico,MEX,1972,0,1.653,7.185,0,0,2.664,0,33.076
Mexico,MEX,1973,0,1.251,11.966,0.447,0,2.333,0,20.733
Mexico,MEX,1974,0,1.95,6.401,0.839,0,0.936,0,41.007
Mexico,MEX,1975,0,3.056,2.243,0.153,0,-4.239,0,36.959
Mexico,MEX,1976,0,-5.493,-2.535,0.169,0,5.758,0,40.025
Mexico,MEX,1977,0,7.945,7.144,0.036,0,5.383,0,13.967
Mexico,MEX,1978,0,1.111,35.06,0.017,0,-8.267,0,56.416
Mexico,MEX,1979,0,-0.478,36.596,1.169,0,4.975,0,36.923
Mexico,MEX,1980,0,0.335,15.362,-0.289,0,-3.05,0,62.127
Mexico,MEX,1981,0,-3.139,18.774,0.136,0,21.411,0,57.191
Mexico,MEX,1982,0,4.722,18.165,0.922,0,-4.706,0,23.413
Mexico,MEX,1983,0,3.963,8.242,0.158,0,-6.086,0,-17.556
Mexico,MEX,1984,0,0.093,0.386,0.197,0,7.972,0,39.013
Mexico,MEX,1985,0,2.745,6.695,0.603,0,13.401,0,29.249
Mexico,MEX,1986,0,3.636,-30.357,4.869,0,-19.805,0,9.108
Mexico,MEX,1987,0,-1.285,4.322,2.844,0,-5.59,0,36.233
Mexico,MEX,1988,0,-2.022,4.353,0.597,0,7.086,0,-1.918
Mexico,MEX,1989,0,3.823,-5.632,0.117,1.033,9.772,0,54.596
Mexico,MEX,1990,0.003,-0.332,20.211,1.247,7.125,-2.426,0.003,37.002
Mexico,MEX,1991,0.003,-1.286,14.186,1.968,3.625,-5.155,0,35.903
Mexico,MEX,1992,0.003,0.428,0.034,1.481,-0.897,11.635,0,10.117
Mexico,MEX,1993,0.003,4.91,0.87,0.373,2.811,-0.441,0,-1.704
Mexico,MEX,1994,0.003,9.026,17.765,-0.781,-1.922,-17.732,0.011,71.164
Mexico,MEX,1995,0,5.94,5.872,0.544,11.678,20.354,0.006,-66.889
Mexico,MEX,1996,0.003,8.541,5.881,-0.639,-1.569,10.382,-0.003,21.555
Mexico,MEX,1997,0,0.064,1.591,-0.837,7.161,-13.817,0.017,30.649
Mexico,MEX,1998,0.003,1.484,20.416,0.709,-3.308,-4.914,0.008,51.112
Mexico,MEX,1999,0,1.2,3.119,-0.218,2.047,22.554,0.006,-9.365
Mexico,MEX,2000,0,6.639,21.224,0.83,-4.947,1.007,0.006,47.869
Mexico,MEX,2001,0.003,7.487,2.772,-0.421,1.245,-13.401,-0.003,-17.603
Mexico,MEX,2002,0,56.432,48.783,-0.595,2.643,-10.305,0.008,-45.583
Mexico,MEX,2003,0,-36.787,34.406,2.287,1.885,-14.084,-0.006,26.176
Mexico,MEX,2004,0.003,2.401,35.125,0.724,-3.722,14.068,0.002,41.586
Mexico,MEX,2005,0,27.71,46.904,2.231,4.176,6.382,-0.003,25.797
Mexico,MEX,2006,0.003,9.769,55.76,-1.875,-0.019,6.847,0.069,-11.142
Mexico,MEX,2007,-0.003,-11.615,-12.469,1.9,-1.365,-8.761,0.538,41.894
Mexico,MEX,2008,0.026,-14.038,29.552,-1.07,-1.8,30.92,0.014,-2.744
Mexico,MEX,2009,0.021,2.201,51.722,-1.044,1.669,-33.437,0.891,-37.898
Mexico,MEX,2010,0.01,28.372,8.757,-0.385,-12.22,26.78,1.666,4.692
Mexico,MEX,2011,0.025,23.208,47.64,-0.323,10.816,-2.891,1.041,18.096
Mexico,MEX,2012,0.071,-22.061,28.453,-1.677,-3.557,-11.799,5.229,17.817
Mexico,MEX,2013,0.094,-1.039,41.413,1.332,7.622,-10.453,1.213,-31.085
Mexico,MEX,2014,0.291,-0.288,10.534,-0.585,-5.583,27.237,5.641,-49.358
Mexico,MEX,2015,0.06,-0.288,19.345,0.662,4.66,-20.83,5.769,-11.962
Mexico,MEX,2016,0.012,-3.017,22.471,-0.395,-2.713,-0.951,3.976,7.469
Mexico,MEX,2017,2.332,32.12,30.035,0.897,0.633,2.422,0.451,-38.479
Mexico,MEX,2018,4.937,-19.207,15.408,-1.941,6.718,1.12,5.981,-30.243
Mexico,MEX,2019,22.899,-16.569,30.931,1.808,-6.064,-21.829,11.047,-53.526
Morocco,MAR,1966,0,1.127,0,0,0,-0.442,0,4.967
Morocco,MAR,1967,0,-0.014,0,0,0,-0.339,0,1.629
Morocco,MAR,1968,0,-0.327,0,0,0,0.35,0,1.767
Morocco,MAR,1969,0,-0.002,0,0,0,0.861,0,1.642
Morocco,MAR,1970,0,0.425,0,0,0,-0.061,0,1.006
Morocco,MAR,1971,0,0.154,0.016,0,0,0.483,0,1.249
Morocco,MAR,1972,0,0.82,0.042,0,0,0.211,0,1.523
Morocco,MAR,1973,0,-0.04,0.136,0,0,-1.122,0,4.964
Morocco,MAR,1974,0,-0.041,0.1,0,0,0.403,0,2.186
Morocco,MAR,1975,0,0.576,-0.09,0,0,-0.892,0,1.143
Morocco,MAR,1976,0,0.407,0.082,0,0,-0.05,0,3.093
Morocco,MAR,1977,0,-0.289,0.069,0,0,1.019,0,4.686
Morocco,MAR,1978,0,0.04,-0.047,0,0,0.142,0,3.003
Morocco,MAR,1979,0,-0.122,-0.059,0,0,0.461,0,5.955
Morocco,MAR,1980,0,-0.2,-0.09,0,0,-0.186,0,0.661
Morocco,MAR,1981,0,0.289,0.183,0,0,-1.364,0,-0.845
Morocco,MAR,1982,0,0.561,-0.06,0,0,-1.256,0,2.635
Morocco,MAR,1983,0,1.308,0.043,0,0,-0.253,0,0.54
Morocco,MAR,1984,0,-0.958,-0.001,0,0,-0.319,0,2.132
Morocco,MAR,1985,0,1.872,0.105,0,0,0.333,0,-0.233
Morocco,MAR,1986,0,2.756,-0.029,0,0,0.436,0,-0.959
Morocco,MAR,1987,0,1.675,-0.166,0,0,0.506,0,-0.017
Morocco,MAR,1988,0,-0.163,0.016,0,0,0.308,0,3.741
Morocco,MAR,1989,0,1.244,-0.192,0,0,0.614,0,5.655
Morocco,MAR,1990,0,-0.465,-0.041,0,0,0.175,0,2.228
Morocco,MAR,1991,0,1.14,-0.181,0,0,0.017,0,0.072
Morocco,MAR,1992,0,-1.012,-0.11,0,0,-0.728,0,11.873
Morocco,MAR,1993,0,1.186,-0.005,0,0,-1.447,0,1.346
Morocco,MAR,1994,0,1.617,-0.005,0,0,1.103,0,6.903
Morocco,MAR,1995,0,3.315,-0.074,0,0,-0.636,0,-4.566
Morocco,MAR,1996,0,5.315,0.035,0,0,3.739,0,-4.668
Morocco,MAR,1997,0,-1.151,0.137,0,0,0.35,0,4.882
Morocco,MAR,1998,0,4.466,0.029,0,0,-0.85,0,-0.732
Morocco,MAR,1999,0,-1.21,0.054,0,0,-2.644,0,8.25
Morocco,MAR,2000,0,4.815,0.058,0,0,-0.297,0.178,-5.775
Morocco,MAR,2001,0,8.467,-0.005,0,0,0.385,0.39,0.155
Morocco,MAR,2002,0,-0.221,0.092,0,0,-0.071,-0.036,3.399
Morocco,MAR,2003,0,-1.412,-0.022,0,0,1.619,0.021,0.048
Morocco,MAR,2004,0,4.04,0.143,0,0,0.38,-0.014,13.532
Morocco,MAR,2005,0,2.047,3.602,0,0,-1.713,0.016,8.719
Morocco,MAR,2006,0,0.744,1.025,0,0,0.031,-0.065,1.539
Morocco,MAR,2007,0,-7.296,0.676,0,0,-0.23,0.251,5.044
Morocco,MAR,2008,0,5.02,-0.074,0,0,0.022,0.046,11.866
Morocco,MAR,2009,0,-11.146,0.579,0,0,4.32,0.239,1.339
Morocco,MAR,2010,0,0.945,0.517,0,0,2.304,0.692,14.496
Morocco,MAR,2011,0,2.211,1.854,0,0,-3.845,0.076,9.62
Morocco,MAR,2012,0,0.545,2.979,0,0,-0.996,0.081,0.952
Morocco,MAR,2013,0,-0.269,-0.358,0,0,2.929,1.235,1.772
Morocco,MAR,2014,0,12.051,-0.353,0,0,-2.963,1.785,-7.378
Morocco,MAR,2015,0.014,4.744,0.202,0,0,0.602,1.478,-3.36
Morocco,MAR,2016,0.995,-1.881,0.184,0,0,-1.611,1.171,3.494
Morocco,MAR,2017,0.029,1.965,-0.089,0,0,-0.196,0.043,8.743
Morocco,MAR,2018,1.323,8.111,-1.096,0,0,1.247,1.958,-3.768
Morocco,MAR,2019,1.555,17.622,-0.54,0,0,-1.082,2.091,3.972
Netherlands,NLD,1966,0,-9.167,13.611,0,0,0,0,24.973
Netherlands,NLD,1967,0,-3.611,21.944,0,0,0,0,7.089
Netherlands,NLD,1968,0,-4.722,34.444,0,0.078,0,0,25.791
Netherlands,NLD,1969,0,-12.778,40.278,0,0.797,0,0,32.079
Netherlands,NLD,1970,0,-19.444,51.111,0,0.147,0,0,43.194
Netherlands,NLD,1971,0,-13.056,54.167,0,0.103,0,0,-5.242
Netherlands,NLD,1972,0,-5.833,69.444,0,-0.219,0,0,48.98
Netherlands,NLD,1973,0,0.556,33.611,0,2.172,0,0,15.158
Netherlands,NLD,1974,0,-1.667,21.389,0,6.025,0,0,-69.601
Netherlands,NLD,1975,0,-5.278,15.278,2.231,0.161,0,0,-5.84
Netherlands,NLD,1976,0,6.944,14.167,0.192,1.492,0,0,51.723
Netherlands,NLD,1977,0,1.667,1.389,-0.014,-0.45,0,0,-18.689
Netherlands,NLD,1978,0,5.278,0.833,0.956,0.972,0,0,9.664
Netherlands,NLD,1979,0,-1.944,-1.667,-0.292,-1.586,0,0,35.258
Netherlands,NLD,1980,0,6.389,-33.056,-0.228,1.975,0,0,-31.766
Netherlands,NLD,1981,0,5,-16.944,0.169,-1.506,0,0,-31.808
Netherlands,NLD,1982,0,8.056,-15,-2.278,0.664,0,0,-53.8
Netherlands,NLD,1983,0,1.944,22.222,-0.094,-0.856,0,0,-19.533
Netherlands,NLD,1984,0,12.778,21.389,-0.594,0.339,0,0,-4.528
Netherlands,NLD,1985,0,-0.278,19.722,1.178,0.522,0.008,0,4.139
Netherlands,NLD,1986,0,2.222,-1.111,0.311,0.881,0,0.003,38.421
Netherlands,NLD,1987,0,4.167,12.222,0.414,-1.833,-0.006,0.003,2.805
Netherlands,NLD,1988,0,15.833,-37.778,0.369,0.331,0.003,0.039,24.074
Netherlands,NLD,1989,0,-0.833,9.167,0.181,0.956,0.097,0.019,-5.554
Netherlands,NLD,1990,0,6.389,2.222,-0.639,-1.436,0.133,0.092,15.627
Netherlands,NLD,1991,0,-8.056,42.639,0.222,-0.481,0.053,0.089,-17.17
Netherlands,NLD,1992,0.003,-0.278,-10.778,0.006,1.308,0.044,0.164,20.542
Netherlands,NLD,1993,0,0.833,11.389,0.308,0.411,-0.078,0.075,-5.145
Netherlands,NLD,1994,-0.003,6.111,-14.083,0.211,0.053,0.022,0.178,-2.692
Netherlands,NLD,1995,0.003,3.333,10.806,0.217,0.142,-0.033,0.219,23.419
Netherlands,NLD,1996,0.003,-3.611,44.167,0.831,0.394,-0.022,0.333,-0.098
Netherlands,NLD,1997,0,-2.778,-28.5,0.408,-4.867,0.033,0.106,17.372
Netherlands,NLD,1998,0.004,1.944,-5.306,0.354,3.892,0.056,0.458,5.518
Netherlands,NLD,1999,0.005,-12.222,-9.611,0.55,0.053,-0.061,0.014,9.027
Netherlands,NLD,2000,0.007,3.333,1.139,0.625,0.253,0.145,0.511,6.889
Netherlands,NLD,2001,0.015,5.833,8.278,0.915,0.077,-0.072,-0.026,23.536
Netherlands,NLD,2002,0.011,0.556,-4.222,1.463,-0.233,-0.023,0.317,2.332
Netherlands,NLD,2003,0.037,3.333,2.861,-1.03,0.216,-0.104,0.997,0.758
Netherlands,NLD,2004,0.006,-1.389,9.944,2.06,-0.6,0.063,1.463,23.613
Netherlands,NLD,2005,0.002,-4.444,-12.222,5.193,0.406,-0.022,0.506,33.001
Netherlands,NLD,2006,0.002,-4.444,-16.472,-0.31,-1.479,0.044,1.748,-2.35
Netherlands,NLD,2007,0.001,8.056,-10.028,-3.189,1.883,0.003,1.822,16.448
Netherlands,NLD,2008,0.008,-5.278,15.833,2.723,-0.152,-0.02,2.111,-28.644
Netherlands,NLD,2009,0.014,-5.278,9.694,2.614,0.14,-0.009,0.783,-24.799
Netherlands,NLD,2010,0.038,0.556,54,2.371,-0.796,0.017,-1.613,9.852
Netherlands,NLD,2011,0.105,-1.194,-58.306,-0.046,0.382,-0.124,2.806,6.527
Netherlands,NLD,2012,0.394,8.556,-16.444,0.198,-0.647,0.121,-0.385,-27.585
Netherlands,NLD,2013,0.667,0.056,-1.722,-3.311,-2.682,0.024,1.575,-25.857
Netherlands,NLD,2014,0.676,10.111,-46.389,-2.486,3.011,-0.008,0.347,-22.623
Netherlands,NLD,2015,0.84,22.778,-3.917,-0.286,-0.096,-0.05,4.346,-11.196
Netherlands,NLD,2016,1.084,-9.389,10.722,-0.138,-0.357,0.016,1.448,14.666
Netherlands,NLD,2017,1.589,-12.306,10.139,-0.836,-1.453,-0.1,5.875,-17.968
Netherlands,NLD,2018,3.668,-10.889,-8.028,-0.177,0.229,0.028,-0.167,11.491
Netherlands,NLD,2019,3.671,-21.472,14.789,2.628,0.946,0.004,2.117,-7.982
New Zealand,NZL,1966,0,-0.523,0,0.031,0,2.185,0,3.497
New Zealand,NZL,1967,0,-1.617,0,-0.625,0,1.154,0,1.818
New Zealand,NZL,1968,0,-1,0,0.447,0,1.535,0,1.044
New Zealand,NZL,1969,0,0.407,0,0.089,0,-0.381,0,1.509
New Zealand,NZL,1970,0,0.012,0.71,-0.15,0,2.873,0,7.105
New Zealand,NZL,1971,0,-1.814,0.192,-0.047,0,4.788,0,1.567
New Zealand,NZL,1972,0,0.361,0.733,0.003,0,2.418,0,3.767
New Zealand,NZL,1973,0,1.989,0.266,-0.039,0,-0.466,0,3.02
New Zealand,NZL,1974,0,0.5,0.867,1.435,0,0.256,0,-2.13
New Zealand,NZL,1975,0,-1.028,0.275,0.075,0,4.097,0,-1.708
New Zealand,NZL,1976,0,0.5,5.603,-0.143,0,-3.235,0,1.428
New Zealand,NZL,1977,0,-0.806,5.729,-0.213,0,-2.163,0,0.019
New Zealand,NZL,1978,0,-1.25,-0.814,0.064,0,2.609,0,-2.249
New Zealand,NZL,1979,0,-1.611,-4.865,-0.343,0,7.733,0,0.498
New Zealand,NZL,1980,0,0.378,-0.799,0.261,0,2.559,0,-2.054
New Zealand,NZL,1981,0,-0.05,2.024,-0.091,0,0.875,0,-2.669
New Zealand,NZL,1982,0,-0.267,8.535,0.083,0,-3.822,0,-0.004
New Zealand,NZL,1983,0,1.438,1.593,0.05,0,4.021,0,-1.819
New Zealand,NZL,1984,0,-1.032,5.863,0.422,0,1.737,0,0.679
