Lease,Formation/Reservoir, Reservoir Temperature (deg F) , Net Pay (ft) , Wellbore Diameter (ft) ,Porosity, Water Saturation , Oil Saturation , Gas Saturation , Gas Specific Gravity ,CO2, H2S ,N2,Condensate Gravity (API),Sep. Temperature (deg F),Sep. Pressure (psi), Oil Gravity (API) , TVD (ft) ,# Stages,# Clusters ,# Clusters per Stage,# of Total Proppant (Lbs), Lateral Length (ft) , Top Perf (ft) , Bottom Perf (ft) , Sandface Temp (deg F) , Static Wellhead Temp (deg F) 
CROW,EAGLE FORD,221,63,0.7,0.052000000000000005,0.321,0.679,0.0,0.9,0.0,0.0,0.0,42.5,100,100,42.5,8420.2,69,1035,15.0,39020000.0,10950,8221,19171,220.0,70.0
LORIKEET,HAYNESVILLE SHALE,285,268,0.7,0.08800000000000001,0.1838,0.0,0.8162,0.58,0.0002,0.0,0.0,30.0,100,100,13321.8,11258.854,10,69,7.0,3591544.0,4496,11253,15749,285.21375,120.0
MYNAH,HAYNESVILLE SHALE,351,208,0.7,0.08839999999999999,0.2025,0.0,0.7975,0.5820000000000001,0.0246,0.0,0.0005,30.0,100,100,30.0,11781.86043,74,517,7.0,23245567.0,11061,12142,23203,351.0,120.0
PARTRIDGE,HAYNESVILLE SHALE,351,209,0.7,0.08839999999999999,0.2025,0.0,0.7975,0.583,0.0245,0.0,0.0005,30.0,100,100,30.0,11675.9339,74,510,7.0,22963009.0,10966,11902,22868,351.0,120.0
CASSOWARY,HAYNESVILLE SHALE,331,161,0.7,0.091,0.1907,0.0,0.8093,0.58,0.0366,0.0,0.0,30.0,100,100,21274.3,12162.941,8,104,8.0,6134650.0,4185,12374,16559,331.2319,120.0
ORIOLE,HAYNESVILLE SHALE,343,166,0.7,0.08560000000000001,0.2009,0.0,0.7990999999999999,0.593,0.0381,0.0,0.0004,30.0,100,100,30.0,12509.62218,67,468,7.0,27197082.0,9948,12782,22730,300.0,120.0
WARBLER,HAYNESVILLE SHALE,335,166,0.7,0.0855,0.2009,0.0,0.7990999999999999,0.593,0.038,0.0,0.0005,30.0,100,100,30.0,12451.17264,60,419,7.0,25082774.0,9102,12722,21824,335.0,220.7
HARPY,HAYNESVILLE SHALE,343,166,0.7,0.08560000000000001,0.2009,0.0,0.7990999999999999,0.593,0.0381,0.0,0.0004,30.0,100,100,30.0,12484.19028,65,452,7.0,26976378.0,9747,12780,22527,343.0,120.0
BEE-EATER,HAYNESVILLE SHALE,379,165,0.7,0.091,0.2,0.0,0.8,0.589,0.0338,0.0,0.0009,30.0,100,100,30.0,11965.4042,63,440,7.0,26397928.0,9800,12340,21802,379.0,226.3
LOON,HAYNESVILLE SHALE,379,165,0.7,0.091,0.2,0.0,0.8,0.589,0.0338,0.0,0.0009,30.0,100,100,30.0,11906.29912,77,235,3.0,41398865.0,9800,12462,21730,343.0,223.6
CUCKOO,BOSSIER SHALE ,305,150,0.7,0.1,0.2,0.0,0.8,0.605,0.05,0.0,0.0,60.0,100,100,60.0,12064.0,89,445,5.0,42946954.0,9764,12441,22205,305.0,120.0
ROOSTER,HAYNESVILLE SHALE,350,180,0.7,0.08,0.2,0.0,0.8,0.612,0.058,0.0,0.0,30.0,100,100,30.0,12668.0,47,235,5.0,26632739.0,5235,13153,18388,350.0,120.0
ARCHAEOPTERYX,HAYNESVILLE SHALE,343,183,0.7,0.0861,0.21,0.0,0.79,0.595,0.0398,0.0,0.0007000000000000001,30.0,100,100,30.0,12123.47,66,462,7.0,20836790.0,9856,12503,22359,343.0,234.0
TERN,HAYNESVILLE SHALE,329,193,0.7,0.0861,0.21,0.0,0.79,0.594,0.0394,0.0,0.0005,30.0,100,100,30.0,12064.16,66,462,7.0,20748830.0,9820,12470,22290,329.0,236.0
STILT,HAYNESVILLE SHALE,346,150,0.7,0.0839,0.229,0.0,0.7709999999999999,0.597,0.0421,0.0,0.0005,30.0,100,100,30.0,12545.04973,66,457,7.0,20374069.0,9878,12609,22487,346.0,120.0
AVOCET,HAYNESVILLE SHALE,348,150,0.7,0.0839,0.229,0.0,0.7709999999999999,0.598,0.042,0.0,0.0006,30.0,100,100,30.0,12530.46466,64,448,7.0,20174551.0,9525,12653,22178,355.0,120.0
OSTRICH,MARCELLUS,115,102,0.7,0.07,0.3297,0.0013,0.669,0.57,0.0,0.0,0.0,30.0,100,100,30.0,5707.639,13,65,5.0,7194425.0,5210,5900,11110,115.0,65.0
EMU,MARCELLUS,143,132,0.7,0.0635,0.196,0.0,0.804,0.57,0.0,0.0,0.0,30.0,100,100,30.0,8489.07,41,123,3.0,18404917.0,6098,8547,14645,143.3666,60.0
